date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:01:28%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying22_600x600.png?v=1616177464	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying22_600x600d976.png	(from https://www.friendlymailer.com/collections/all)
19:01:29	209971/209971	---MCZ	200	added ('OK')	text/html	etag:cacheable:c7adde6e7b7d862962664648013e839f	https://www.friendlymailer.com/collections/all/products/eco-friendly-biodegradable-mailers-v4-white	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/all/products/eco-friendly-biodegradable-mailers-v4-white.html	(from https://www.friendlymailer.com/collections/all)
19:01:30	89817/89817	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Oct%202022%2000:01:29%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying22_600x600.png?v=1616177464	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying22_600x600d976.png	(from https://www.friendlymailer.com/collections/all)
19:01:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:01:31%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying2_600x600.png?v=1616177163	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying2_600x6009677.png	(from https://www.friendlymailer.com/collections/all)
19:01:32	199679/199679	---MCZ	200	added ('OK')	text/html	etag:cacheable:0c2dff20bfaaacc8396c561656cd1eba	https://www.friendlymailer.com/collections/all/products/eco-friendly-biodegradable-mailers-black	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/all/products/eco-friendly-biodegradable-mailers-black.html	(from https://www.friendlymailer.com/collections/all)
19:01:32	101783/101783	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Oct%202022%2020:07:01%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying2_600x600.png?v=1616177163	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying2_600x6009677.png	(from https://www.friendlymailer.com/collections/all)
19:01:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:01:34%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/products/newsample_600x600.jpg?v=1644918033	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/newsample_600x6006f0d.jpg	(from https://www.friendlymailer.com/collections/all)
19:01:34	186112/186112	---MCZ	200	added ('OK')	text/html	etag:cacheable:6c98172f2387a621ed5673324ba3091f	https://www.friendlymailer.com/collections/all/products/eco-friendly-mailer-sample-pack	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/all/products/eco-friendly-mailer-sample-pack.html	(from https://www.friendlymailer.com/collections/all)
19:01:35	64859/64859	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Oct%202022%2000:01:35%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/products/newsample_600x600.jpg?v=1644918033	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/newsample_600x6006f0d.jpg	(from https://www.friendlymailer.com/collections/all)
19:01:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:01:37%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/products/tapemockup_7e4dcea5-a834-4706-af2d-57d218582935_600x600.png?v=1623071443	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/tapemockup_7e4dcea5-a834-4706-af2d-57d218582935_600x6001f65.png	(from https://www.friendlymailer.com/collections/all)
19:01:38	181489/181489	---MCZ	200	added ('OK')	text/html	etag:cacheable:29fdb49b1efdc09ff8703b6ca4b25b7d	https://www.friendlymailer.com/collections/all/products/biodegradable-friendly-tape	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/all/products/biodegradable-friendly-tape.html	(from https://www.friendlymailer.com/collections/all)
19:01:39	171160/171160	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Oct%202022%2000:01:38%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/products/tapemockup_7e4dcea5-a834-4706-af2d-57d218582935_600x600.png?v=1623071443	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/tapemockup_7e4dcea5-a834-4706-af2d-57d218582935_600x6001f65.png	(from https://www.friendlymailer.com/collections/all)
19:01:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:01:40%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying2_600x600.jpg?v=1655642558	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying2_600x6000048.jpg	(from https://www.friendlymailer.com/collections/all)
19:01:41	297413/297413	---MCZ	200	added ('OK')	text/html	etag:cacheable:594f247dec60b0cd2ac1c40e5ce14177	https://www.friendlymailer.com/collections/all/products/custom-mailer	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/all/products/custom-mailer.html	(from https://www.friendlymailer.com/collections/all)
19:01:41	23758/23758	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Oct%202022%2000:01:41%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying2_600x600.jpg?v=1655642558	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying2_600x6000048.jpg	(from https://www.friendlymailer.com/collections/all)
19:01:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:01:43%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/products/1_600x600.jpg?v=1622991796	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/1_600x600988a.jpg	(from https://www.friendlymailer.com/collections/all)
19:01:44	164882/164882	---MCZ	200	added ('OK')	text/html	etag:cacheable:5c0d56a8077ba1c2acf1ea667c38b53f	https://www.friendlymailer.com/collections/all/products/custom-stickers	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/all/products/custom-stickers.html	(from https://www.friendlymailer.com/collections/all)
19:01:44	33141/33141	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Oct%202022%2000:01:44%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/products/1_600x600.jpg?v=1622991796	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/1_600x600988a.jpg	(from https://www.friendlymailer.com/collections/all)
19:01:45	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2029%20Oct%202022%2000:01:45%20GMT	https://www.friendlymailer.com/checkout	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/checkout	(from https://www.friendlymailer.com/collections/all)
19:01:46	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2029%20Oct%202022%2000:01:46%20GMT	https://www.friendlymailer.com/checkouts/c/1c355cbd676b31770f2d5b51528de802	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/checkouts/c/1c355cbd676b31770f2d5b51528de802	(from https://www.friendlymailer.com/collections/all)
19:01:48	29915/29915	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:dffcda5629511d74beedc4877874462d	https://www.friendlymailer.com/collections/mailers.atom	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/mailers.atom	(from https://www.friendlymailer.com/collections/mailers)
19:01:48	16015/16015	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:b342a9cc98bb767275e802595521e12a	https://www.friendlymailer.com/collections/mailers.oembed	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/mailers.oembed	(from https://www.friendlymailer.com/collections/mailers)
19:01:49	132/132	---MC-	302	error ('Found')	text/html	date:Sat,%2029%20Oct%202022%2000:01:49%20GMT	https://www.friendlymailer.com/account	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/account	(from https://www.friendlymailer.com/collections/mailers)
